aspect,description,sentiment,Sentiment
review,other,-0.125,Negative
multiplayer,fun,0.3,Positive
multiplayer,first,0.25,Positive
record,hardcore,0.0,Neutral
interface,terrible,-1.0,Negative
thing,new,0.13636363636363635,Positive
mode,different,0.0,Neutral
player,single,-0.07142857142857142,Negative
lock,single,-0.07142857142857142,Negative
play,fine,0.4166666666666667,Positive
game,willing,0.25,Positive
multiplayer,more,0.5,Positive
people,other,-0.125,Negative
generation,wrong,-0.5,Negative
time,impressive,1.0,Positive
content,literal,0.0,Neutral
break,stupid,-0.7999999999999999,Negative
visual,absolutely fantastic,0.4,Positive
multiplayer,same,0.0,Neutral
game,so bad,-0.6999999999999998,Negative
game,annoying,-0.8,Negative
campaign,good,0.7,Positive
game,unfinished,0.0,Neutral
map,so shit,-0.2,Negative
cod,good,0.7,Positive
train,mw2,0.0,Neutral
glitch,bad,-0.6999999999999998,Negative
game,interesting,0.5,Positive
joke,great,0.8,Positive
mic,same,0.0,Neutral
game,positive,0.22727272727272727,Positive
game,amazing,0.6000000000000001,Positive
game,good,0.7,Positive
menus,many,0.5,Positive
content,amazing,0.6000000000000001,Positive
campaign,awesome,1.0,Positive
one,indefinitely worth,0.3,Positive
game,last,0.0,Neutral
game,really good,0.7,Positive
spec,beefy,0.2,Positive
mission,overall,0.0,Neutral
footstep,loud,0.1,Positive
map,fun,0.3,Positive
care,free,0.4,Positive
survival,big,0.0,Neutral
body,fucking,-0.6,Negative
people,ready,0.2,Positive
game,most,0.5,Positive
gunplay,fun,0.3,Positive
glitch,great,0.8,Positive
ward,good,0.7,Positive
game,solid,0.0,Neutral
community,respectful,0.5,Positive
game,undercooke,0.0,Neutral
spawn,good,0.7,Positive
one,ready,0.2,Positive
system,lame,-0.5,Negative
search,redeemable,0.0,Neutral
multiplayer,pretty basic,0.125,Positive
ghost,modern,0.2,Positive
force,more,0.5,Positive
issue,hot,0.25,Positive
company,accountable,0.0,Neutral
name,very similar,0.0,Neutral
game,second,0.0,Neutral
game,other,-0.125,Negative
mode,standard,0.0,Neutral
game,unplayable,-0.4,Negative
campaign,buggy,0.0,Neutral
finger,kid,0.0,Neutral
map,atrocious,-0.7,Negative
community,enough stupid,-0.39999999999999997,Negative
release,bad,-0.6999999999999998,Negative
want,few,-0.2,Negative
pm,sill,0.0,Neutral
file,corrupt,-0.5,Negative
support,official,0.0,Neutral
game,great,0.8,Positive
issue,much,0.2,Positive
button,explosive,0.0,Neutral
game,piss,0.0,Neutral
lot,random,-0.5,Negative
blast,official,0.0,Neutral
player,short,0.0,Neutral
graphic,top,0.5,Positive
mode,different,0.0,Neutral
level,more,0.5,Positive
map,terrible,-1.0,Negative
war,cool,0.35,Positive
progression,terrible,-1.0,Negative
progression,hideous,0.0,Neutral
war,new,0.13636363636363635,Positive
call,bad,-0.6999999999999998,Negative
balance,awful,-1.0,Negative
spawn,cold,-0.6,Negative
series,same,0.0,Neutral
cod,last,0.0,Neutral
game,awful,-1.0,Negative
map,well awful,-1.0,Negative
one,most common,0.1,Positive
shadow,least,-0.3,Negative
shadow,grainy,0.0,Neutral
game,good,0.7,Positive
match,next,0.0,Neutral
vision,virtual,0.0,Neutral
system,absolute,0.2,Positive
game,awesome,1.0,Positive
problem,fine,0.4166666666666667,Positive
user,easy,0.43333333333333335,Positive
assist,terrible,-1.0,Negative
play,overpriced,0.0,Neutral
game,very good,0.9099999999999999,Positive
game,good,0.7,Positive
progression,awful,-1.0,Negative
map,such,0.0,Neutral
point,single,-0.07142857142857142,Negative
map,other,-0.125,Negative
game,useless,-0.5,Negative
eye,same,0.0,Neutral
game,amazing,0.6000000000000001,Positive
practice,current,0.0,Neutral
game,last,0.0,Neutral
game,groundbreaking,0.0,Neutral
release,next,0.0,Neutral
advice,astonishing,0.5,Positive
game,least,-0.3,Negative
update,total,0.0,Neutral
direction,functional,0.0,Neutral
map,such,0.0,Neutral
story,much,0.2,Positive
majority,excellent,1.0,Positive
purpose,sad,-0.5,Negative
lot,buggy,0.0,Neutral
voice,absolutely glorious,0.2,Positive
game,great,0.8,Positive
campaign,good,0.7,Positive
spawn,so bad,-0.6999999999999998,Negative
play,fine,0.4166666666666667,Positive
system,refreshing,0.5,Positive
man,racial,0.0,Neutral
time,potential,0.0,Neutral
gun,good,0.7,Positive
system,dead,-0.2,Negative
spam,easy,0.43333333333333335,Positive
half,miss,0.0,Neutral
invasion,good,0.7,Positive
call,strange,-0.05,Negative
campaign,cool,0.35,Positive
voice,good,0.7,Positive
assist,absolutely ridiculous,-0.3333333333333333,Negative
spot,sweet,0.35,Positive
a,rotational,0.0,Neutral
match,just manky,0.0,Neutral
game,def,0.0,Neutral
amount,safe,0.5,Positive
feature,most generous,0.5,Positive
play,up retarded,-0.8,Negative
coop,well alright,0.0,Neutral
developer,nonfunctional,0.0,Neutral
game,modern,0.2,Positive
game,previous,-0.16666666666666666,Negative
lobby,insanely saggy,-1.0,Negative
game,long,-0.05,Negative
game,least,-0.3,Negative
system,fucking,-0.6,Negative
reload,mag,0.0,Neutral
spawn,still reload,0.0,Neutral
sun,most annoying,-0.15000000000000002,Negative
fire,incredibly stupid,-0.7999999999999999,Negative
hell,start,0.0,Neutral
rate,similar,0.0,Neutral
sniper,almost irrelevant,-0.5,Negative
crossing,just awful,-1.0,Negative
map,tight,-0.17857142857142858,Negative
map,very open,0.0,Neutral
game,vast,0.0,Neutral
player,awful,-1.0,Negative
ping,most,0.5,Positive
screen,glitchy,0.0,Neutral
multiplayer,online,0.0,Neutral
parent,too much,0.2,Positive
design,bad,-0.6999999999999998,Negative
system,horrible,-1.0,Negative
spawn,horrible,-1.0,Negative
map,impossible,-0.6666666666666666,Negative
people,annoying,-0.8,Negative
driver,graphic,0.0,Neutral
game,other,-0.125,Negative
map,good,0.7,Positive
campaign,pretty alright,0.25,Positive
game,previous,-0.16666666666666666,Negative
time,so many,0.5,Positive
enemy,large,0.21428571428571427,Positive
game,numerous,0.0,Neutral
bug,resolve,0.0,Neutral
matchmaking,golden,0.3,Positive
game,gold,0.0,Neutral
thing,old,0.1,Positive
game,great,0.8,Positive
mode,amazing,0.6000000000000001,Positive
play,stale,-0.5,Negative
map,serious,-0.3333333333333333,Negative
game,stupid,-0.7999999999999999,Negative
game,good,0.7,Positive
account,unauthorized,0.0,Neutral
ban,overturn,0.0,Neutral
policy,only,0.0,Neutral
case,close,0.0,Neutral
company,other,-0.125,Negative
game,very fun,0.39,Positive
dollar,much,0.2,Positive
none,permanent,0.0,Neutral
game,complete,0.1,Positive
game,horrible,-1.0,Negative
assist,too fast,0.2,Positive
gold,way too easy,0.43333333333333335,Positive
game,worth,0.3,Positive
game,incomplete,0.0,Neutral
game,good,0.7,Positive
game,barely worth,0.3,Positive
agent,fair,0.7,Positive
attachment,unlock,0.0,Neutral
racist,even funny,0.25,Positive
game,great,0.8,Positive
game,very cool,0.45499999999999996,Positive
game,big,0.0,Neutral
weapon,amazing,0.6000000000000001,Positive
game,well,0.0,Neutral
matchmaking,general,0.05000000000000002,Positive
story,awesome,1.0,Positive
game,great,0.8,Positive
game,good,0.7,Positive
making,skilled,0.5,Positive
hour,total,0.0,Neutral
people,good,0.7,Positive
game,mw2,0.0,Neutral
game,good,0.7,Positive
pace,old,0.1,Positive
movement,overdone,0.0,Neutral
scene,animate,0.0,Neutral
score,just fantastic,0.4,Positive
crash,other,-0.125,Negative
system,new,0.13636363636363635,Positive
system,outrageous,-1.0,Negative
cod,bad,-0.6999999999999998,Negative
title,most,0.5,Positive
deus,unrealistic,-0.5,Negative
saying,old,0.1,Positive
lot,other,-0.125,Negative
game,most,0.5,Positive
lot,even strong,0.4333333333333333,Positive
idea,brilliant,0.9,Positive
system,run,0.0,Neutral
mw2,possible,0.0,Neutral
map,flanking,0.0,Neutral
play,very few,-0.26,Negative
war,truly epic,0.1,Positive
war,much,0.2,Positive
war,more,0.5,Positive
range,normal,0.15,Positive
team,ultimate,0.0,Neutral
feature,hardcore,0.0,Neutral
buy,current,0.0,Neutral
pricing,bad,-0.6999999999999998,Negative
support,constant,0.0,Neutral
pace,mostly fun,0.3,Positive
balance,otherwise equal,0.0,Neutral
design,atrociously bad,-0.6999999999999998,Negative
lot,typical,-0.16666666666666666,Negative
driver,very annoying,-1.0,Negative
performance,ryan,0.0,Neutral
lack,technical,0.0,Neutral
exp,active,-0.13333333333333333,Negative
mechanic,old,0.1,Positive
mode,old,0.1,Positive
assist,other,-0.125,Negative
assist,broken,-0.4,Negative
game,graphic,0.0,Neutral
product,sure,0.5,Positive
people,big,0.0,Neutral
mechanic,stupid,-0.7999999999999999,Negative
stuff,so harassed,0.0,Neutral
game,damn,0.0,Neutral
thought,only,0.0,Neutral
day,current,0.0,Neutral
game,own,0.6,Positive
fuel,good,0.7,Positive
rate,terrible,-1.0,Negative
people,willing,0.25,Positive
file,fail,-0.5,Negative
load,massive,0.0,Neutral
bind,key,0.0,Neutral
lack,such,0.0,Neutral
weapon,dummy,0.0,Neutral
attachment,single,-0.07142857142857142,Negative
optic,great,0.8,Positive
provide,very misleading,0.2,Positive
damage,other,-0.125,Negative
offender,bad,-0.6999999999999998,Negative
match,overly competitive,0.0,Neutral
change,such,0.0,Neutral
system,perk,0.0,Neutral
play,sure,0.5,Positive
