aspect,description,sentiment
review,other,-0.125
multiplayer,fun,0.3
multiplayer,first,0.25
record,hardcore,0.0
interface,terrible,-1.0
thing,new,0.13636363636363635
mode,different,0.0
player,single,-0.07142857142857142
lock,single,-0.07142857142857142
play,fine,0.4166666666666667
game,willing,0.25
multiplayer,more,0.5
people,other,-0.125
generation,wrong,-0.5
time,impressive,1.0
content,literal,0.0
break,stupid,-0.7999999999999999
visual,absolutely fantastic,0.4
multiplayer,same,0.0
game,so bad,-0.6999999999999998
game,annoying,-0.8
campaign,good,0.7
game,unfinished,-1.0
map,so shit,-0.2
cod,good,0.7
train,mw2,0.0
glitch,bad,-0.6999999999999998
game,interesting,0.5
joke,great,0.8
mic,same,0.0
game,positive,0.22727272727272727
game,amazing,0.6000000000000001
game,good,0.7
menus,many,0.5
content,amazing,0.6000000000000001
campaign,awesome,1.0
one,indefinitely worth,0.3
game,last,0.0
game,really good,0.7
spec,beefy,0.2
mission,overall,0.0
footstep,loud,0.1
map,fun,0.3
care,free,0.4
survival,big,0.0
body,fucking,-0.6
people,ready,0.2
game,most,0.5
gunplay,fun,0.3
glitch,great,0.8
ward,good,0.7
game,solid,0.5
community,respectful,0.5
game,undercooke,0.0
spawn,good,0.7
one,ready,0.2
system,lame,-0.5
search,redeemable,0.0
multiplayer,pretty basic,0.125
ghost,modern,0.2
force,more,0.5
issue,hot,0.25
company,accountable,0.0
name,very similar,0.0
game,second,0.0
game,other,-0.125
mode,standard,0.0
game,unplayable,-0.4
campaign,buggy,-1.0
finger,kid,0.0
map,atrocious,-0.7
community,enough stupid,-0.14999999999999997
release,bad,-0.6999999999999998
want,few,-0.2
pm,sill,0.0
file,corrupt,-0.5
support,official,0.0
game,great,0.8
issue,much,0.2
button,explosive,-1.0
game,piss,0.0
lot,random,-0.5
blast,official,0.0
player,short,0.0
graphic,top,0.5
mode,different,0.0
level,more,0.5
map,terrible,-1.0
war,cool,0.35
progression,terrible,-1.0
progression,hideous,-1.0
war,new,0.13636363636363635
call,bad,-0.6999999999999998
balance,awful,-1.0
spawn,cold,-0.6
series,same,0.0
cod,last,0.0
game,awful,-1.0
map,well awful,0.0
one,most common,0.1
shadow,least,-0.3
shadow,grainy,-1.0
game,good,0.7
match,next,0.0
vision,virtual,0.0
system,absolute,0.2
game,awesome,1.0
problem,fine,0.4166666666666667
user,easy,0.43333333333333335
assist,terrible,-1.0
play,overpriced,-1.0
game,very good,0.9099999999999999
game,good,0.7
progression,awful,-1.0
map,such,0.0
point,single,-0.07142857142857142
map,other,-0.125
game,useless,-0.5
eye,same,0.0
game,amazing,0.6000000000000001
practice,current,0.0
game,last,0.0
game,groundbreaking,1.0
release,next,0.0
advice,astonishing,0.5
game,least,-0.3
update,total,0.0
direction,functional,0.0
map,such,0.0
story,much,0.2
majority,excellent,1.0
purpose,sad,-0.5
lot,buggy,-1.0
voice,absolutely glorious,1.0
game,great,0.8
campaign,good,0.7
spawn,so bad,-0.6999999999999998
play,fine,0.4166666666666667
system,refreshing,0.5
man,racial,0.0
time,potential,0.0
gun,good,0.7
system,dead,-0.2
spam,easy,0.43333333333333335
half,miss,-1.0
invasion,good,0.7
call,strange,-0.05
campaign,cool,0.35
voice,good,0.7
assist,absolutely ridiculous,-0.3333333333333333
spot,sweet,0.35
a,rotational,0.0
match,just manky,0.0
game,def,0.0
amount,safe,0.5
feature,most generous,0.75
play,up retarded,-0.8
coop,well alright,1.0
developer,nonfunctional,0.0
game,modern,0.2
game,previous,-0.16666666666666666
lobby,insanely saggy,-1.0
game,long,-0.05
game,least,-0.3
system,fucking,-0.6
reload,mag,0.0
spawn,still reload,0.0
sun,most annoying,-0.15000000000000002
fire,incredibly stupid,-0.7999999999999999
hell,start,0.0
rate,similar,0.0
sniper,almost irrelevant,-0.5
crossing,just awful,-1.0
map,tight,-0.17857142857142858
map,very open,0.0
game,vast,0.0
player,awful,-1.0
ping,most,0.5
screen,glitchy,0.0
multiplayer,online,0.0
parent,too much,0.2
design,bad,-0.6999999999999998
system,horrible,-1.0
spawn,horrible,-1.0
map,impossible,-0.6666666666666666
people,annoying,-0.8
driver,graphic,0.0
game,other,-0.125
map,good,0.7
campaign,pretty alright,0.25
game,previous,-0.16666666666666666
time,so many,0.5
enemy,large,0.21428571428571427
game,numerous,0.0
bug,resolve,0.0
matchmaking,golden,0.3
game,gold,1.0
thing,old,0.1
game,great,0.8
mode,amazing,0.6000000000000001
play,stale,-0.5
map,serious,-0.3333333333333333
game,stupid,-0.7999999999999999
game,good,0.7
account,unauthorized,0.0
ban,overturn,-1.0
policy,only,0.0
case,close,0.0
company,other,-0.125
game,very fun,0.39
dollar,much,0.2
none,permanent,0.0
game,complete,0.1
game,horrible,-1.0
assist,too fast,0.2
gold,way too easy,0.43333333333333335
game,worth,0.3
game,incomplete,-1.0
game,good,0.7
game,barely worth,0.3
agent,fair,0.7
attachment,unlock,0.0
racist,even funny,0.25
game,great,0.8
game,very cool,0.45499999999999996
game,big,0.0
weapon,amazing,0.6000000000000001
game,well,1.0
matchmaking,general,0.05000000000000002
story,awesome,1.0
game,great,0.8
game,good,0.7
making,skilled,0.5
hour,total,0.0
people,good,0.7
game,mw2,0.0
game,good,0.7
pace,old,0.1
movement,overdone,-1.0
scene,animate,0.0
score,just fantastic,0.4
crash,other,-0.125
system,new,0.13636363636363635
system,outrageous,-1.0
cod,bad,-0.6999999999999998
title,most,0.5
deus,unrealistic,-0.5
saying,old,0.1
lot,other,-0.125
game,most,0.5
lot,even strong,0.4333333333333333
idea,brilliant,0.9
system,run,0.0
mw2,possible,0.0
map,flanking,0.0
play,very few,-0.26
